,,,,,,,,Performance Expectancy,,,,,,Effort Expectancy,,,,,,Social Influence,,,,,,Facilitating Condition,,,,,,Hedonic Motivation,,,,,,Price Value,,,,,,Habit,,,,,,Health Literation,,,,,,Perceived Health Risk ,,,,,,Indigenous Knowledge / Local Wisdom,,,,,,Government Support,,,,,,Security dan Privacy,,,,,,,Trust,,,,Behaviour Intention,,,,
20 - 25 Tahun,Ibu rumah tangga,S1,Jawa Barat,> Rp10.000.000,Pregnancy+,1 - 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,3,4,4,4
26 - 30 Tahun,Pegawai Swasta,Diploma,Jawa Timur,Rp1.000.000 - Rp2.500.000,theAsianparent,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,4,4,3,4,,4,4,4,3,3,,4,4,4,3,4,4,,4,4,4,,4,4,4,4,4
20 - 25 Tahun,Lainnya,SMP,Jawa Barat,Rp1.000.000 - Rp2.500.000,HalloBumil,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,2,2,2,3,,2,2,3,4,4,,3,3,3,3,2,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,SMA,Jawa Timur,Rp1.000.000 - Rp2.500.000,HalloBumil,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,2,4,3,,3,3,3,3,3,,3,3,3,3,3,,3,4,3,3,3,,3,3,3,3,3,,3,4,3,3,3,,3,3,2,2,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,4,,3,3,2,3,3
26 - 30 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp1.000.000 - Rp2.500.000,Pregnancy+,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
20 - 25 Tahun,Ibu rumah tangga,SMA,Jawa Tengah,Rp1.000.000 - Rp2.500.000,Pregnancy+,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,3,4,4,1,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,3,4,2,3,,3,1,2,3,3,,2,2,2,1,2,,1,1,1,1,1,,4,3,3,3,3,4,,3,4,4,,4,4,3,4,3
26 - 30 Tahun,Pegawai Swasta,SMA,Jawa Tengah,Rp2.500.000 - Rp5.000.000,Pregnancy+,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,3,3,,3,3,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,4,4,4,4,4,,2,3,2,2,3,,3,3,3,2,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,4,4,4,4,4
26 - 30 Tahun,Wiraswasta/Pemilik Bisnis,S1,Banten,Rp2.500.000 - Rp5.000.000,Flo,< 1 Tahun,,4,4,4,4,4,,3,4,3,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,4,4,4,,3,3,3,2,2,,4,4,2,1,4,,4,4,4,4,4,,4,4,3,3,3,4,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp1.000.000 - Rp2.500.000,HalloBumil,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,2,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,3,3,3,,3,3,3,2,3,,3,3,2,2,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Jawa Barat,Rp2.500.000 - Rp5.000.000,HalloBumil,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,1,1,2,3,,3,3,1,4,3,,3,3,3,3,3,,3,1,1,1,1,,4,4,4,4,4,,3,3,3,3,3,,2,2,2,2,2,,2,3,3,3,3,,2,2,2,1,2,,3,3,3,3,3,4,,3,3,4,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Daerah Istimewa Yogyakarta,Rp5.000.000 - Rp10.000.000,Pregnancy+,< 1 Tahun,,2,2,4,3,4,,2,4,2,3,3,,3,2,3,3,3,,3,2,3,3,3,,3,3,3,3,3,,2,3,3,3,3,,3,2,3,3,3,,3,4,3,3,3,,3,3,2,3,3,,2,4,2,1,2,,2,2,1,2,1,,3,3,2,3,3,2,,4,4,4,,3,3,4,3,4
31 -35 Tahun,Ibu rumah tangga,S1,Daerah Istimewa Yogyakarta,Rp2.500.000 - Rp5.000.000,HalloBumil,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,4,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,3,3,,2,2,2,1,2,,2,2,2,2,2,,3,3,3,3,3,3,,3,4,3,,3,3,3,3,3
20 - 25 Tahun,Wiraswasta/Pemilik Bisnis,S1,DKI Jakarta,Rp5.000.000 - Rp10.000.000,HalloBumil,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp2.500.000 - Rp5.000.000,Pregnancy+,1 - 2 Tahun,,3,3,3,4,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,2,3,,4,3,3,3,3,,3,3,3,4,4,,4,4,4,4,3,,4,4,4,4,4,,3,3,2,3,3,,3,3,2,2,2,,3,3,3,3,3,2,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Guru / Dosen,S1,Daerah Istimewa Yogyakarta,Rp2.500.000 - Rp5.000.000,MeetYou,> 2 Tahun,,4,4,4,4,4,,3,4,4,4,4,,3,4,3,4,4,,4,4,2,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,3,3,3,3,,2,2,2,2,2,,3,3,3,4,3,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,Diploma,Jawa Barat,Rp5.000.000 - Rp10.000.000,HalloBumil,1 - 2 Tahun,,3,3,3,3,4,,3,3,4,4,4,,3,3,3,4,3,,3,3,3,4,4,,3,3,3,3,3,,3,2,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,3,3,,3,3,3,2,3,,3,3,4,4,4,,4,3,3,3,3,4,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Lainnya,Diploma,Daerah Istimewa Yogyakarta,Rp1.000.000 - Rp2.500.000,theAsianparent,1 - 2 Tahun,,3,4,4,4,3,,4,3,4,4,4,,2,2,2,2,3,,3,3,2,3,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,4,4,4,4,4,,1,2,2,3,3,,3,3,3,2,3,,2,3,2,3,2,,2,3,3,2,3,3,,3,3,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp1.000.000 - Rp2.500.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
> 35 Tahun,Lainnya,S1,Daerah Istimewa Yogyakarta,Rp5.000.000 - Rp10.000.000,Teman Bumil,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,1,4,1,4,4,,4,4,2,1,3,,3,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
> 35 Tahun,Lainnya,SMA,Daerah Istimewa Yogyakarta,Rp1.000.000 - Rp2.500.000,HaiBunda,1 - 2 Tahun,,3,3,3,2,3,,3,3,3,3,3,,3,2,2,2,3,,3,3,3,4,3,,3,3,2,2,3,,3,3,3,3,3,,3,3,2,3,3,,3,3,3,2,3,,2,2,2,2,2,,2,3,3,2,3,,2,2,2,2,2,,4,3,3,3,3,2,,3,3,3,,3,3,2,3,3
26 - 30 Tahun,Guru / Dosen,S1,Daerah Istimewa Yogyakarta,Rp2.500.000 - Rp5.000.000,Tentang Anak,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,2,2,2,2,4,,4,4,2,1,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,2,2,4,4,,4,4,4,4,4,,2,2,2,2,2,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
20 - 25 Tahun,Ibu rumah tangga,SMP,Daerah Istimewa Yogyakarta,Rp1.000.000 - Rp2.500.000,Pregnancy+,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,2,3,3,,2,3,2,2,3,,3,3,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Jawa Barat,Rp1.000.000 - Rp2.500.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,< 1 Tahun,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1
31 -35 Tahun,Lainnya,S1,Bali,Rp5.000.000 - Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,2,2,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,2,,2,2,2,3,2,,3,3,3,3,3,,3,2,2,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,2,3,2
26 - 30 Tahun,Pegawai Swasta,S1,Jawa Timur,> Rp10.000.000,Diary Bunda,1 - 2 Tahun,,4,2,4,4,2,,2,2,4,4,2,,4,4,3,4,4,,4,2,2,2,2,,2,2,2,2,2,,2,2,4,2,2,,2,2,2,2,2,,4,4,4,4,4,,2,4,4,4,4,,2,4,2,4,2,,2,2,2,4,4,,2,2,2,2,2,4,,4,4,4,,4,4,4,2,4
31 -35 Tahun,Pegawai Swasta,S1,Jambi,Rp5.000.000 - Rp10.000.000,HiMommy,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,1,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,1,4,4,4,4,,4,4,4,4,4,,4,4,4,4,1,,1,4,4,1,4,,1,1,1,1,1,,4,4,4,4,4,4,,4,4,4,,4,4,1,1,4
26 - 30 Tahun,Pegawai Swasta,S1,Daerah Istimewa Yogyakarta,Rp2.500.000 - Rp5.000.000,Tentang Anak,1 - 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,2,2,3,4,,4,4,2,4,4,,4,4,4,4,4,,4,3,3,3,3,,4,4,4,4,4,,4,4,4,4,4,,4,3,4,4,4,,1,4,1,1,2,,3,3,3,1,2,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
> 35 Tahun,Ibu rumah tangga,SMA,Bali,Rp2.500.000 - Rp5.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,3,3,3,4,,4,3,4,4,4,,2,4,3,4,4,,3,4,4,4,4,,4,3,3,4,3,,4,4,3,4,3,,4,3,3,4,3,,3,3,3,3,3,,3,3,4,3,3,,4,4,4,3,4,,4,4,4,4,4,,4,3,4,3,3,4,,4,4,3,,3,2,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Bali,Rp2.500.000 - Rp5.000.000,Flo,1 - 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,3,3,3,3,,2,3,3,3,3,,4,4,4,4,4,,4,4,4,3,4,,4,4,4,4,4,4,,4,4,4,,4,4,3,3,3
20 - 25 Tahun,Lainnya,Diploma,Jawa Timur,Rp2.500.000 - Rp5.000.000,HalloBumil,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,3,3,3,,3,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,1,4,4,4,4,,4,4,4,1,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
20 - 25 Tahun,Ibu rumah tangga,SMA,Jawa Barat,< Rp1.000.000,Flo,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,3,3,3,3,,4,4,3,3,4,,3,3,4,3,3,,3,3,3,3,4,,4,4,3,3,3,,4,3,3,3,3,,3,4,3,4,4,,3,4,4,4,4,,4,3,4,3,3,,4,4,4,4,4,4,,4,3,4,,4,4,4,4,4
31 -35 Tahun,Guru / Dosen,S2,Kepulauan Riau,Rp5.000.000 - Rp10.000.000,Teman Bumil,> 2 Tahun,,4,4,4,4,4,,4,3,4,4,4,,2,1,2,2,4,,4,4,3,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,3,3,3,,3,4,3,4,4,,2,2,2,2,4,,1,1,1,1,1,,4,4,3,3,3,3,,4,4,4,,3,3,3,3,3
31 -35 Tahun,Tenaga Kesehatan Dokter/Bidan/Perawat,Diploma,Bali,Rp2.500.000 - Rp5.000.000,Tentang Anak,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,2,2,2,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,2,3,3,,1,3,2,2,2,,3,3,3,3,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,2,3
26 - 30 Tahun,Ibu rumah tangga,S1,Jawa Barat,Rp2.500.000 - Rp5.000.000,Pregnancy+,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,4,4,,3,3,3,3,3,,2,3,4,2,2,,2,3,4,1,2,,3,3,3,2,2,,3,3,4,4,4,4,,4,4,3,,3,3,3,3,3
31 -35 Tahun,Ibu rumah tangga,S1,Nusa Tenggara Timur,Rp2.500.000 - Rp5.000.000,Teman Bumil,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,4,3,4,3,,2,3,3,1,3,,4,4,3,3,4,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,Ibu rumah tangga,SMA,Jawa Tengah,Rp1.000.000 - Rp2.500.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,3,4,4,4,,4,4,4,3,3,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,3,3
31 -35 Tahun,PNS,S1,Sulawesi Selatan,Rp5.000.000 - Rp10.000.000,Flo,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,1,3,4,,2,3,2,2,2,,2,2,3,2,2,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
31 -35 Tahun,Tenaga Kesehatan Dokter/Bidan/Perawat,Diploma,Bali,Rp2.500.000 - Rp5.000.000,theAsianparent,1 - 2 Tahun,,4,3,3,3,3,,3,3,3,3,3,,3,2,1,1,3,,3,3,3,4,4,,3,3,3,3,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,4,,2,1,2,3,3,,2,3,2,1,2,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,Lainnya,Diploma,Bali,Rp1.000.000 - Rp2.500.000,PrimaKu,< 1 Tahun,,3,3,3,4,3,,3,3,3,4,4,,4,4,4,4,4,,4,4,3,4,4,,4,4,4,4,4,,4,2,4,4,3,,4,4,4,4,3,,4,4,4,4,4,,4,4,4,4,4,,1,2,2,1,3,,3,4,3,4,3,,4,4,4,4,4,2,,4,4,4,,4,4,4,4,4
31 -35 Tahun,PNS,S1,Bali,< Rp1.000.000,HalloBumil,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,S1,Sumatera Barat,Rp2.500.000 - Rp5.000.000,Flo,< 1 Tahun,,3,3,3,3,4,,4,4,4,4,4,,2,2,2,2,3,,3,3,3,4,4,,4,4,4,3,4,,4,1,1,3,3,,4,4,4,4,4,,4,4,4,4,4,,2,1,2,4,3,,2,4,4,1,4,,1,1,1,1,1,,2,2,3,3,3,2,,2,3,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,SMA,Kalimantan Timur,< Rp1.000.000,Tidak menggunakan aplikasi,Tidak Pernah Menggunakan Aplikasi,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,3,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,,2,2,2,2,2
31 -35 Tahun,PNS,S1,Sulawesi Tenggara,Rp2.500.000 - Rp5.000.000,theAsianparent,< 1 Tahun,,4,4,4,4,3,,4,4,4,4,4,,4,2,2,3,3,,2,3,3,4,4,,4,4,3,2,3,,3,4,3,4,3,,2,4,3,4,2,,3,4,4,3,3,,1,4,1,4,3,,2,2,1,1,2,,1,1,3,1,1,,3,3,3,3,3,3,,3,3,3,,3,3,2,4,4
26 - 30 Tahun,Guru / Dosen,S2,Bengkulu,Rp5.000.000 - Rp10.000.000,Pregnancy+,< 1 Tahun,,3,3,3,3,3,,3,3,4,3,3,,2,3,3,3,3,,3,3,3,3,3,,3,3,3,2,3,,3,3,3,3,3,,1,3,3,3,3,,3,3,3,3,3,,4,3,1,2,2,,3,3,2,1,3,,2,2,2,2,2,,3,3,3,3,3,3,,3,3,3,,2,3,2,3,3
31 -35 Tahun,Petani,SMA,Sumatera Utara,< Rp1.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,1,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,PNS,S2,Bengkulu,> Rp10.000.000,Bomne/mommytalk,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,1,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,3,3,,2,2,2,1,2,,1,1,1,1,1,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Tenaga Kesehatan Dokter/Bidan/Perawat,Diploma,Jawa Barat,Rp5.000.000 - Rp10.000.000,Flo,> 2 Tahun,,4,3,4,4,4,,4,3,3,4,4,,4,3,3,4,4,,4,4,4,3,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,3,4,4,,3,4,3,3,4,,4,4,4,4,4,,2,2,3,1,1,,2,1,1,1,1,,3,3,4,4,4,4,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Pegawai Swasta,S1,Jawa Tengah,Rp1.000.000 - Rp2.500.000,theAsianparent,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,4,4,4,4,4,,3,2,4,1,3,,2,2,2,2,2,,3,3,3,3,3,3,,3,3,3,,4,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,SMA,DKI Jakarta,Rp2.500.000 - Rp5.000.000,Flo,1 - 2 Tahun,,4,4,4,4,3,,4,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,3,,4,3,4,4,4,,3,3,3,3,3,,4,4,4,4,4,,4,4,3,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,3,3,3,3,3
26 - 30 Tahun,Pegawai Swasta,S1,Sulawesi Tengah,Rp5.000.000 - Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,1,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
31 -35 Tahun,Lainnya,Diploma,Jambi,Rp2.500.000 - Rp5.000.000,Pregnancy+,< 1 Tahun,,3,3,3,4,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,4,4,4,4,4,,3,3,3,4,4,,4,3,2,1,3,,2,2,1,1,2,,3,3,3,3,3,3,,3,3,3,,3,4,4,4,4
31 -35 Tahun,Lainnya,SMA,Jambi,Rp1.000.000 - Rp2.500.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,4,3,4,,3,3,3,3,3,,3,3,3,3,3,,3,4,4,3,3,,2,3,3,3,3,,3,3,3,3,3,3,,3,4,3,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp2.500.000 - Rp5.000.000,HalloBumil,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,2,2,3,3,,2,2,2,3,3,,3,2,2,2,2,,3,3,2,3,2,,3,3,2,3,2,,3,3,3,3,3,,2,3,2,3,3,,3,2,2,1,1,,2,3,2,2,2,,3,3,3,3,3,3,,3,3,3,,2,2,2,2,2
20 - 25 Tahun,Ibu rumah tangga,SMA,Jawa Timur,Rp2.500.000 - Rp5.000.000,Flo,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,4,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,Pegawai Swasta,S1,Jawa Barat,> Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,3,3,,3,2,3,3,3,,2,3,3,3,3,,3,3,3,2,3,,3,3,2,3,3,,2,3,3,3,3,,3,2,3,3,3,,3,3,3,3,3,,3,3,3,2,3,,3,3,3,3,3,,3,2,3,3,3,,3,3,3,3,3,3,,2,3,3,,3,3,3,3,3
31 -35 Tahun,Lainnya,S2,Jambi,Rp2.500.000 - Rp5.000.000,Teman Bumil,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,3,3,,3,3,3,2,3,,3,3,3,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,SMA,Jambi,Rp1.000.000 - Rp2.500.000,Pregnancy+,< 1 Tahun,,4,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,3,3,,4,4,4,4,4,,3,3,3,3,3,,3,3,3,3,3,,2,4,4,4,4,3,,4,3,4,,4,4,4,4,4
20 - 25 Tahun,Ibu rumah tangga,S1,Riau,Rp2.500.000 - Rp5.000.000,Pregnancy+,< 1 Tahun,,4,4,4,3,3,,3,3,3,3,3,,1,1,1,1,4,,4,4,3,4,4,,4,4,3,4,4,,3,2,2,4,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,4,1,1,1,,2,2,2,1,1,,4,3,3,3,3,3,,4,4,4,,3,3,3,3,3
31 -35 Tahun,Ibu rumah tangga,Diploma,Jawa Barat,Rp5.000.000 - Rp10.000.000,theAsianparent,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,3,4,,4,4,4,4,4,,2,2,2,1,4,,1,1,1,1,1,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
20 - 25 Tahun,Pegawai Swasta,S1,Jawa Timur,< Rp1.000.000,theAsianparent,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,3,3,3,,2,3,3,1,3,,3,3,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,SMA,Kalimantan Timur,Rp2.500.000 - Rp5.000.000,theAsianparent,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,3,3,4,4,,4,4,4,4,4,,4,4,4,3,4,,2,3,2,3,4,,2,2,2,2,3,,3,3,3,3,3,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
